timestep_time,vehicle_y,vehicle_x
1800,517.45,1849.76
1801,514.68,1850.59
1802,510.18,1851.95
1803,503.92,1853.84
1804,495.93,1856.26
1805,485.36,1859.45
1816,411.2,1860.54
1815,412.18,1860.7
1814,416.26,1861.52
1806,471.84,1862.04
1817,410.59,1863.78
1813,421.84,1864.01
1818,408.33,1864.27
1807,455.11,1865.19
1812,425.27,1865.48
1811,425.84,1865.67
1810,426.76,1865.98
1808,441.14,1866.3
1809,431.63,1866.8
1819,405.02,1869.64
1820,406.49,1875.89
1821,410.87,1884.19
1822,417.5,1893.79
1823,423.98,1905.42
1824,430.72,1917.5
1825,436.95,1928.68
1826,444.63,1939.78
1827,453.56,1950.29
1828,458.96,1961.74
1829,467.31,1971.58
1830,475.19,1980.86
1831,484.16,1991.42
1832,492.41,2002.02
1833,500.05,2012.04
1834,507.41,2021.71
1835,515.22,2031.97
1836,523.24,2042.5
1837,530.22,2052.54
1838,537.37,2062.96
1839,544.99,2074.07
1840,552.14,2084.5
1841,559.22,2094.84
1842,566.84,2105.95
1843,574.03,2116.43
1844,581.87,2127.89
1845,588.68,2137.95
1846,596.39,2149.02
1847,603.8,2159.44
1848,611.66,2170.5
1849,619.31,2181.25
1850,626.6,2191.5
1851,634.24,2202.25
1852,640.99,2212.67
1853,648.04,2223.94
1854,655.19,2235.38
1855,661.71,2245.82
1856,669.07,2257.21
1857,676.04,2267.75
1858,683.25,2278.64
1859,690.54,2289.64
